2 9 10 2								
FCA090								
Amel								
FCA043								
FCA124								
F124								
FCA096								
FCA275								
FCA391								
FCA126								
1  0505	102	304	104	108	202	203	606	607
1  0205	102	405	304	107	210	202	405	507
1  0404	202	405	309	207	210	203	505	307
1  0305	202	405	203	506	203	202	505	106
1  0306	102	204	308	205	203	202	405	203
1  0103	102	505	406	508	505	104	406	106
1  0204	202	404	308	404	310	202	506	607
1  0206	202	204	203	507	103	202	506	103
1  0305	102	305	202	505	102	204	607	606
1  0405	102	405	303	405	203	102	507	506
1  0406	102	105	406	505	103	202	506	202
1  0202	202	404	205	507	210	202	105	606
1  0203	202	405	507	508	106	202	506	607
1  0207	102	405	609	505	202	202	506	506
1  0606	102	204	306	506	203	202	405	206
1  0205	102	204	303	610	203	203	606	307
1  0202	202	204	408	507	102	203	405	306
1  0202	102	404	306	106	707	307	207	204
1  0304	202	404	203	407	207	202	506	305
1  0203	102	405	308	507	202	202	404	206
1  0206	202	204	207	404	102	707	105	607
1  0203	202	204	606	707	102	207	506	207
1  0103	202	405	203	506	102	306	506	106
1  0103	102	404	203	406	102	207	506	306
1  0101	202	405	506	606	101	104	106	303
1  0305	102	204	305	710	202	202	506	105
1  0306	102	505	307	410	0	202	505	506
1  0203	102	205	507	404	102	202	105	206
1  0406	202	505	506	505	306	202	105	205
1  0205	102	404	307	708	202	207	105	303
1  0202	202	405	307	507	308	205	606	708
1  0505	102	404	308	707	103	707	505	506
1  0203	102	204	808	510	204	202	505	206
1  0102	102	404	607	707	102	103	606	206
1  0204	102	405	203	607	102	203	105	508
1  0202	102	404	303	508	108	207	305	106
1  0305	202	405	309	508	206	202	105	107
1  0203	202	404	407	205	208	307	606	202
1  0506	102	404	506	507	102	202	505	309
1  0203	202	406	407	709	202	203	507	305
1  0506	102	404	308	205	205	202	405	303
1  0305	102	404	309	508	206	202	607	505
1  0203	102	104	305	507	202	202	506	205
1  0203	102	404	306	407	203	303	101	107
1  0205	102	205	306	207	607	203	101	205
1  0106	202	404	507	107	307	202	101	202
1  0307	202	505	508	507	204	202	506	507
1  0405	202	304	304	606	106	203	607	306
1  0306	102	404	202	709	306	202	505	102
1  0306	102	404	308	506	203	203	206	203
2  0203	102	204	306	707	610	101	506	208
2  0203	202	204	508	607	203	202	105	102
2  0506	102	204	304	507	102	202	505	206
2  0206	102	505	204	506	102	202	405	303
2  0206	202	404	308	209	202	202	405	606
2  0306	202	405	306	707	205	202	106	305
2  0203	202	205	307	506	203	102	506	203
2  0507	102	404	406	606	606	203	105	205
2  0206	102	405	808	506	310	203	506	207
2  0406	202	404	404	610	110	202	606	507
2  0306	202	202	406	505	102	205	106	206
2  0305	102	404	405	608	102	202	506	606
2  0205	202	404	306	710	306	202	405	607
2  0205	202	204	304	607	307	202	105	308
2  0203	202	405	306	607	506	202	505	307
2  0303	102	404	606	608	203	203	506	205
2  0202	202	406	305	506	102	202	105	505
2  0204	202	505	305	508	610	202	505	107
2  0202	102	405	606	708	207	202	506	103
2  0206	202	405	505	105	505	203	105	105
2  0506	202	404	308	305	103	305	105	507
2  0506	102	405	506	710	206	102	204	105
2  0205	202	404	303	610	105	202	106	306
2  0105	102	305	203	707	505	202	101	607
2  0505	102	205	204	607	207	202	506	607
2  0305	202	404	508	510	203	202	505	606
2  0204	202	405	306	410	202	207	405	307
2  0303	102	405	306	708	606	202	106	205
2  0405	102	205	202	406	506	303	102	207
2  0204	102	404	306	709	210	103	106	606
2  0303	102	405	308	104	606	102	506	306
2  0202	202	204	608	707	205	203	506	202
2  0304	202	305	303	508	205	203	105	506
2  0203	102	205	103	407	102	203	506	103
2  0405	102	405	608	810	510	202	406	206
2  0404	202	204	303	508	101	202	106	707
2  0204	202	404	606	709	206	203	506	505
2  0405	102	204	405	606	207	202	505	202
2  0404	102	205	304	507	207	202	505	207
2  0406	202	405	607	710	103	202	406	207
2  0304	102	405	306	507	0	202	606	202
2  0304	202	505	0	509	203	304	606	307
2  0205	102	304	306	507	606	102	606	606
2  0203	102	405	305	106	102	103	606	507
2  0304	102	205	304	508	102	203	505	607
2  0203	102	204	303	207	610	202	106	307
2  0606	202	405	306	508	609	102	506	606
2  0207	102	205	406	607	507	307	105	203
2  0105	102	405	206	509	202	202	506	505
2  0205	102	404	407	405	202	203	405	202
2  0404	102	404	303	207	106	202	506	203
2  0506	102	405	505	607	202	102	507	505
2  0303	102	405	606	307	206	202	506	509
2  0204	202	404	307	507	210	203	205	305
2  0305	202	404	405	205	205	202	506	206
2  0203	102	405	307	707	102	202	106	202
