,1,2,Cat ID
1,0.684974422,0.315025578,53-20-90
2,0.47252083,0.52747917,84-20-89
3,0.408970167,0.591029833,30-20-87
4,0.530256348,0.469743652,16-20-86
5,0.526269846,0.473730154,71-20-85
6,0.324937993,0.675062007,60-20-84
7,0.467041405,0.532958595,40-20-83
8,0.406704047,0.593295953,84-20-82
9,0.630004979,0.369995021,73-20-99
10,0.538660169,0.461339831,60-20-98
11,0.304977289,0.695022711,60-20-97
12,0.624131142,0.375868858,44-20-96
13,0.371492486,0.628507514,84-20-95
14,0.621376735,0.378623265,16-20-94
15,0.511251528,0.488748472,44-20-93
16,0.503530617,0.496469383,66-20-92
17,0.686291586,0.313708414,30-20-91
18,0.416766991,0.583233009,27-20-108
19,0.401758043,0.598241957,27-20-101
20,0.602764765,0.397235235,16-20-102
21,0.638902049,0.361097951,30-20-103
22,0.307521175,0.692478825,103-20-104
23,0.530870001,0.469129999,60-20-105
24,0.604987938,0.395012062,16-20-106
25,0.28177287,0.71822713,30-20-107
26,0.512915109,0.487084891,60-20-109
27,0.397139854,0.602860146,61-20-108
28,0.475964501,0.524035499,61-20-111
29,0.186970894,0.813029106,44-20-110
30,0.651746263,0.348253737,07-20-113
31,0.351164243,0.648835757,37-20-112
32,0.556951974,0.443048026,56-20-115
33,0.632254858,0.367745142,30-20-114
34,0.460848697,0.539151303,40-20-117
35,0.400860852,0.599139148,23-19-116
36,0.590270086,0.409729914,30-19-119
37,0.348372708,0.651627292,42-20-118
38,0.537260491,0.462739509,70-18-121
39,0.540962238,0.459037762,30-19-120
40,0.595674987,0.404325013,71-20-81
41,0.62208282,0.37791718,44-19-65
42,0.418566774,0.581433226,30-19-63
43,0.527850918,0.472149082,40-19-46
44,0.372905332,0.627094668,40-19-45
45,0.175402421,0.824597579,82-19-36
46,0.226794563,0.773205437,61-19-27
47,0.338895248,0.661104752,05-19-17
48,0.398389825,0.601610175,61-19-09
49,0.343137768,0.656862232,53-20-80
50,0.514518702,0.485481298,30-19-62
51,0.238863158,0.761136842,37-19-47
52,0.385868953,0.614131047,61-19-44
53,0.595788282,0.404211718,37-19-35
54,0.544828587,0.455171413,71-19-26
55,0.735968362,0.264031638,61-19-16
56,0.21046563,0.78953437,40-19-08
57,0.429665251,0.570334749,30-20-79
58,0.268170761,0.731829239,44-19-66
59,0.443677817,0.556322183,56-19-61
60,0.337797627,0.662202373,84-19-48
61,0.444854034,0.555145966,30-19-43
62,0.637081906,0.362918094,56-19-34
63,0.350872329,0.649127671,37-19-25
64,0.357915405,0.642084595,40-19-15
65,0.229012839,0.770987161,16-19-07
66,0.333083425,0.666916575,40-20-76
67,0.468416326,0.531583674,73-19-67
68,0.281616729,0.718383271,37-19-60
69,0.36347005,0.63652995,30-19-49
70,0.350026749,0.649973251,16-19-42
71,0.445731005,0.554268995,84-19-24
72,0.333760643,0.666239357,56-19-69
73,0.390629737,0.609370263,37-19-14
74,0.231191503,0.768808497,71-19-06
75,0.510326597,0.489673403,84-20-77
76,0.667133717,0.332866283,05-20-68
77,0.541156328,0.458843672,53-19-59
78,0.111820127,0.888179873,61-19-50
79,0.297040055,0.702959945,64-14-41
80,0.399034546,0.600965454,56-19-23
81,0.259038886,0.740961114,05-14-32
82,0.513039032,0.486960968,40-19-13
83,0.290366458,0.709633542,30-20-76
84,0.710884401,0.289115599,60-20-69
85,0.545701572,0.454298428,05-19-33
86,0.178298074,0.821701926,61-19-51
87,0.349462714,0.650537286,05-19-58
88,0.227062598,0.772937402,30-19-31
89,0.382645215,0.617354785,60-19-40
90,0.260522814,0.739477186,30-18-22
91,0.506308783,0.493691217,56-19-12
92,0.316180907,0.683819093,64-19-04
93,0.254288245,0.745711755,61-20-75
94,0.383759364,0.616240636,40-20-70
95,0.384052059,0.615947941,05-19-57
96,0.449670341,0.550329659,84-19-39
97,0.327466,0.672534,30-19-30
98,0.27436268,0.72563732,58-19-21
99,0.303905343,0.696094657,58-19-11
100,0.490925266,0.509074734,58-18-03
101,0.396863653,0.603136347,84-20-74
102,0.212402985,0.787597015,40-19-71
103,0.235080207,0.764919793,64-19-56
104,0.359473707,0.640526293,05-19-53
105,0.364633333,0.635366667,56-19-38
106,0.424127009,0.575872991,05-19-29
107,0.548411258,0.451588742,05-18-20
108,0.247269744,0.752730256,05-19-52
109,0.370396728,0.629603272,05-18-02
110,0.309812567,0.690187433,37-20-73
111,0.526903211,0.473096789,07-20-22
112,0.728314841,0.271685159,61-19-55
113,0.275200963,0.724799037,61-19-54
114,0.53084295,0.46915705,79-19-37
115,0.217707613,0.782292387,82-18-28
116,0.519682211,0.480317789,64-19-18
117,0.554691905,0.445308095,27-19-10
118,0.27569755,0.72430245,05-18-01
