,1,2,Cat ID,,,,,Cat ID,,
37,0.348372708,0.651627292,42-20-118,,,42,20,118,,
36,0.590270086,0.409729914,30-19-119,,,30,19,119,,
35,0.400860852,0.599139148,23-19-116,,,23,19,116,,
34,0.460848697,0.539151303,40-20-117,,,40,20,117,,
33,0.632254858,0.367745142,30-20-114,,,30,20,114,,
32,0.556951974,0.443048026,56-20-115,,,56,20,115,,
31,0.351164243,0.648835757,37-20-112,,,37,20,112,,
30,0.651746263,0.348253737,07-20-113,,,7,20,113,,
29,0.186970894,0.813029106,44-20-110,,,44,20,110,na,na
28,0.475964501,0.524035499,61-20-111,,,61,20,111,39.74263,-81.63741
27,0.397139854,0.602860146,61-20-108,,,61,20,108,39.73907,-81.33068
26,0.512915109,0.487084891,60-20-109,,,60,20,109,,
25,0.28177287,0.71822713,30-20-107,,,30,20,107,40.04444,-81.56102
24,0.604987938,0.395012062,16-20-106,,,16,20,106,40.38275,-82.137323
23,0.530870001,0.469129999,60-20-105,,,60,20,105,40.1526,-82.0376
22,0.307521175,0.692478825,103-20-104,,,103,20,104,40.05738,-81.41471
21,0.638902049,0.361097951,30-20-103,,,30,20,103,40.02847,-81.56121
20,0.602764765,0.397235235,16-20-102,,,16,20,102,40.34481,-81.64782
19,0.401758043,0.598241957,27-20-101,,,27,20,101,38.7438,-82.2469
18,0.416766991,0.583233009,27-20-100,,,27,20,100,38.8293,-82.227
17,0.686291586,0.313708414,30-20-91,,,30,20,91,40.18608,-81.5312
16,0.503530617,0.496469383,66-20-92,,,66,20,92,39.02981,-83.02688
15,0.511251528,0.488748472,44-20-93,,,44,20,93,38.2505,-82.3406
14,0.621376735,0.378623265,16-20-94,,,16,20,94,40.367707,-81.72728
13,0.371492486,0.628507514,84-20-95,,,84,20,95,39.545866,-81.397528
12,0.624131142,0.375868858,44-20-96,,,44,20,96,38.38101,-82.40795
11,0.304977289,0.695022711,60-20-97,,,60,20,97,39.97895,-81.808417
10,0.538660169,0.461339831,60-20-98,,,60,20,98,40.038433,-82.024783
9,0.630004979,0.369995021,73-20-99,,,73,20,99,38.4965,-82.5896
8,0.406704047,0.593295953,84-20-82,,,84,20,82,39.44829,-81.721003
7,0.467041405,0.532958595,40-20-83,,,40,20,83,39.1972,-82.6691
6,0.324937993,0.675062007,60-20-84,,,60,20,84,39.5571,-82.9449
5,0.526269846,0.473730154,71-20-85,,,71,20,85,39.3846,-82.9672
4,0.530256348,0.469743652,16-20-86,,,16,20,86,40.281996,-81.65051
3,0.408970167,0.591029833,30-20-87,,,30,20,87,39.9887,-81.44138
2,0.47252083,0.52747917,84-20-89,,,84,20,89,39.413949,-81.404073
1,0.684974422,0.315025578,53-20-90,,,53,20,90,39.15813,-81.861741
